,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Basic,0.570089224,2.022601429,0.331929487,1.533563348,2.048136521,0,0.211635253,0.811097324,0,0.504994196,1.133025419,0,0,0.892017319,0.270528942,0,0.46317402,0.022601429,0,0.504994196,0
Acidic,0,0,0,0,0,0,0,0.100603941,0,0.570089224,0,0,0.412547947,0,0,0,0.100603941,0.100603941,1.270528942,0,0.270528942
Aromtic,1.155051725,0,0,0,0.270528942,0.100603941,1.270528942,0,1.811097324,0,0,0,0,0.363638347,0,0.46317402,0,0,0,0,0.948600847
Alipatic,0,0,0.200139614,0,0,0,0,0,0.200139614,0,0,0.46317402,0.829956351,0.100603941,0.234905033,0.985126724,0.87821152,0.778675846,0,0,0
Hydrophobic,0.570089224,0,0.533563348,0,0,0.990421023,0.270528942,0.141245925,0,0,0,0,0,0,0,0,0,0,0,0,0.211635253
Polar,0,0,0,0.100603941,0,0.307054818,0,0,0.300902591,0,0.234905033,0.570089224,0,0,0.715940091,0.007494537,0.100603941,0,0.768028602,0.685566442,0.234905033
,,,,,,,,,,,,,,,,,,,,,
,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
BASIC,-,***,-,**,***,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Acidic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aromtic,-,-,-,-,-,-,-,-,*,N/A,-,N/A,N/A,-,-,-,N/A,N/A,N/A,-,-
Alipatic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,*,-,-,-,-,-
Hydrophobic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Polar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
